Time(microseconds),DLS Value,Temperature(C)
0,0,25.0
15,0,25.0
30,0,25.0
45,0,25.0
60,0,25.0
75,0,25.0
90,0,25.0
105,0,25.0
120,0,25.0
135,0,25.0
150,0,25.0
165,0,25.0
180,0,25.0
195,0,25.0
211,0,25.0
226,0,25.0
241,0,25.0
256,0,25.0
271,0,25.0
286,0,25.0
301,0,25.0
316,0,25.0
331,0,25.0
346,0,25.0
361,0,25.0
376,0,25.0
391,0,25.0
407,0,25.0
422,0,25.0
437,0,25.0
452,0,25.0
467,0,25.0
482,0,25.0
497,0,25.0
512,0,25.0
527,0,25.0
542,0,25.0
557,0,25.0
572,0,25.0
587,0,25.0
603,0,25.0
618,0,25.0
633,0,25.0
648,0,25.0
663,0,25.0
678,0,25.0
693,0,25.0
708,0,25.0
723,0,25.0
738,0,25.0
753,0,25.0
768,0,25.0
783,0,25.0
798,0,25.0
814,0,25.0
829,0,25.0
844,0,25.0
859,0,25.0
874,0,25.0
889,0,25.0
904,0,25.0
919,0,25.0
934,0,25.0
949,0,25.0
964,0,25.0
979,0,25.0
994,0,25.0
1010,0,25.0
1025,0,25.0
1040,0,25.0
1055,0,25.0
1070,0,25.0
1085,0,25.0
1100,0,25.0
1115,0,25.0
1130,0,25.0
1145,0,25.0
1160,0,25.0
1175,0,25.0
1190,0,25.0
1206,0,25.0
1221,0,25.0
1236,0,25.0
1251,0,25.0
1266,0,25.0
1281,0,25.0
1296,0,25.0
1311,0,25.0
1326,0,25.0
1341,0,25.0
1356,0,25.0
1371,0,25.0
1386,0,25.0
1401,0,25.0
1417,0,25.0
1432,0,25.0
1447,0,25.0
1462,0,25.0
1477,0,25.0
1492,0,25.0
1507,0,25.0
1522,0,25.0
1537,0,25.0
1552,0,25.0
1567,0,25.0
1582,0,25.0
1597,0,25.0
1613,0,25.0
1628,0,25.0
1643,0,25.0
1658,0,25.0
1673,4,25.0
1688,7,25.0
1703,9,25.0
1718,9,25.0
1733,14,25.0
1748,20,25.0
1763,20,25.0
1778,24,25.0
1793,25,25.0
1809,28,25.0
1824,24,25.0
1839,28,25.0
1854,30,25.0
1869,35,25.0
1884,36,25.0
1899,37,25.0
1914,39,25.0
1929,38,25.0
1944,37,25.0
1959,48,25.0
1974,49,25.0
1989,49,25.0
2004,48,25.0
2020,51,25.0
2035,54,25.0
2050,55,25.0
2065,57,25.0
2080,59,25.0
2095,63,25.0
2110,63,25.0
2125,63,25.0
2140,63,25.0
2155,69,25.0
2170,69,25.0
2185,71,25.0
2200,78,25.0
2216,71,25.0
2231,81,25.0
2246,83,25.0
2261,87,25.0
2276,90,25.0
2291,87,25.0
2306,94,25.0
2321,91,25.0
2336,96,25.0
2351,99,25.0
2366,99,25.0
2381,97,25.0
2396,97,25.0
2412,95,25.0
2427,101,25.0
2442,100,25.0
2457,105,25.0
2472,108,25.0
2487,103,25.0
2502,111,25.0
2517,103,25.0
2532,115,25.0
2547,113,25.0
2562,115,25.0
2577,120,25.0
2592,120,25.0
2607,126,25.0
2623,119,25.0
2638,121,25.0
2653,127,25.0
2668,125,25.0
2683,127,25.0
2698,131,25.0
2713,127,25.0
2728,129,25.0
2743,127,25.0
2758,135,25.0
2773,130,25.0
2788,136,25.0
2803,139,25.0
2819,142,25.0
2834,143,25.0
2849,144,25.0
2864,147,25.0
2879,147,25.0
2894,137,25.0
2909,147,25.0
2924,146,25.0
2939,152,25.0
2954,153,25.0
2969,157,25.0
2984,160,25.0
2999,149,25.0
3015,157,25.0
3030,159,25.0
3045,161,25.0
3060,166,25.0
3075,169,25.0
3090,173,25.0
3105,173,25.0
3120,176,25.0
3135,180,25.0
3150,176,25.0
3165,177,25.0
3180,182,25.0
3195,180,25.0
3210,180,25.0
3226,178,25.0
3241,188,25.0
3256,179,25.0
3271,191,25.0
3286,187,25.0
3301,192,25.0
3316,192,25.0
3331,196,25.0
3346,200,25.0
3361,204,25.0
3376,201,25.0
3391,204,25.0
3406,210,25.0
3422,211,25.0
3437,215,25.0
3452,217,25.0
3467,222,25.0
3482,217,25.0
3497,222,25.0
3512,224,25.0
3527,224,25.0
3542,226,25.0
3557,231,25.0
3572,231,25.0
3587,230,25.0
3602,236,25.0
3618,236,25.0
3633,239,25.0
3648,243,25.0
3663,240,25.0
3678,241,25.0
3693,246,25.0
3708,244,25.0
3723,247,25.0
3738,249,25.0
3753,248,25.0
3768,251,25.0
3783,248,25.0
3798,255,25.0
3813,257,25.0
3829,263,25.0
3844,262,25.0
3859,271,25.0
3874,264,25.0
3889,271,25.0
3904,271,25.0
3919,276,25.0
3934,279,25.0
3949,283,25.0
3964,276,25.0
3979,276,25.0
3994,286,25.0
4009,283,25.0
4025,280,25.0
4040,287,25.0
4055,288,25.0
4070,283,25.0
4085,294,25.0
4100,292,25.0
4115,297,25.0
4130,302,25.0
4145,295,25.0
4160,300,25.0
4175,306,25.0
4190,305,25.0
4205,310,25.0
4221,312,25.0
4236,315,25.0
4251,320,25.0
4266,319,25.0
4281,323,25.0
4296,332,25.0
4311,336,25.0
4326,335,25.0
4341,340,25.0
4356,348,25.0
4371,344,25.0
4386,348,25.0
4401,355,25.0
4416,359,25.0
4432,359,25.0
4447,359,25.0
4462,369,25.0
4477,371,25.0
4492,374,25.0
4507,382,25.0
4522,384,25.0
4537,391,25.0
4552,398,25.0
4567,395,25.0
4582,403,25.0
4597,408,25.0
4612,403,25.0
4628,415,25.0
4643,419,25.0
4658,418,25.0
4673,427,25.0
4688,432,25.0
4703,430,25.0
4718,440,25.0
4733,440,25.0
4748,441,25.0
4763,451,25.0
4778,452,25.0
4793,455,25.0
4808,460,25.0
4824,467,25.0
4839,470,25.0
4854,473,25.0
4869,480,25.0
4884,480,25.0
4899,485,25.0
4914,490,25.0
4929,489,25.0
4944,501,25.0
4959,499,25.0
4974,504,25.0
4989,511,25.0
5004,508,25.0
5019,512,25.0
5035,519,25.0
5050,516,25.0
5065,519,25.0
5080,526,25.0
5095,531,25.0
5110,533,25.0
5125,536,25.0
5140,539,25.0
5155,531,25.0
5170,542,25.0
5185,542,25.0
5200,549,25.0
5215,551,25.0
5231,551,25.0
5246,556,25.0
5261,553,25.0
5276,564,25.0
5291,568,25.0
5306,568,25.0
5321,568,25.0
5336,574,25.0
5351,574,25.0
5366,576,25.0
5381,578,25.0
5396,583,25.0
5411,583,25.0
5427,590,25.0
5442,591,25.0
5457,596,25.0
5472,596,25.0
5487,595,25.0
5502,601,25.0
5517,608,25.0
5532,604,25.0
5547,600,25.0
5562,609,25.0
5577,611,25.0
5592,611,25.0
5607,615,25.0
5622,611,25.0
5638,620,25.0
5653,624,25.0
5668,622,25.0
5683,628,25.0
5698,630,25.0
5713,633,25.0
5728,632,25.0
5743,635,25.0
5758,639,25.0
5773,646,25.0
5788,643,25.0
5803,647,25.0
5818,653,25.0
5834,655,25.0
5849,660,25.0
5864,657,25.0
5879,657,25.0
5894,664,25.0
5909,667,25.0
5924,669,25.0
5939,670,25.0
5954,675,25.0
5969,675,25.0
5984,670,25.0
5999,679,25.0
6014,684,25.0
6030,686,25.0
6045,684,25.0
6060,688,25.0
6075,691,25.0
6090,696,25.0
6105,694,25.0
6120,700,25.0
6135,702,25.0
6150,707,25.0
6165,707,25.0
6180,711,25.0
6195,705,25.0
6210,708,25.0
6225,717,25.0
6241,722,25.0
6256,719,25.0
6271,717,25.0
6286,728,25.0
6301,726,25.0
6316,731,25.0
6331,729,25.0
6346,740,25.0
6361,742,25.0
6376,743,25.0
6391,745,25.0
6406,752,25.0
6421,748,25.0
6437,754,25.0
6452,760,25.0
6467,763,25.0
6482,768,25.0
6497,767,25.0
6512,766,25.0
6527,773,25.0
6542,772,25.0
6557,778,25.0
6572,774,25.0
6587,780,25.0
6602,782,25.0
6617,786,25.0
6633,787,25.0
6648,790,25.0
6663,796,25.0
6678,794,25.0
6693,801,25.0
6708,799,25.0
6723,799,25.0
6738,804,25.0
6753,803,25.0
6768,799,25.0
6783,807,25.0
6798,807,25.0
6813,807,25.0
6828,807,25.0
6844,811,25.0
6859,809,25.0
6874,814,25.0
6889,817,25.0
6904,812,25.0
6919,818,25.0
6934,819,25.0
6949,819,25.0
6964,819,25.0
6979,825,25.0
6994,824,25.0
7009,828,25.0
7024,824,25.0
7040,825,25.0
7055,828,25.0
7070,834,25.0
7085,836,25.0
7100,838,25.0
7115,836,25.0
7130,839,25.0
7145,838,25.0
7160,843,25.0
7175,844,25.0
7190,844,25.0
7205,847,25.0
7220,846,25.0
7236,850,25.0
7251,847,25.0
7266,855,25.0
7281,861,25.0
7296,859,25.0
7311,862,25.0
7326,864,25.0
7341,862,25.0
7356,868,25.0
7371,869,25.0
7386,874,25.0
7401,877,25.0
7416,881,25.0
7431,882,25.0
7447,887,25.0
7462,883,25.0
7477,888,25.0
7492,893,25.0
7507,893,25.0
7522,893,25.0
7537,899,25.0
7552,903,25.0
7567,901,25.0
7582,903,25.0
7597,905,25.0
7612,909,25.0
7627,914,25.0
7643,911,25.0
7658,915,25.0
7673,918,25.0
7688,915,25.0
7703,921,25.0
7718,920,25.0
7733,926,25.0
7748,930,25.0
7763,928,25.0
7778,936,25.0
7793,936,25.0
7808,940,25.0
7823,942,25.0
7839,948,25.0
7854,947,25.0
7869,951,25.0
7884,956,25.0
7899,963,25.0
7914,963,25.0
7929,972,25.0
7944,975,25.0
7959,984,25.0
7974,987,25.0
7989,993,25.0
8004,1004,25.0
8019,1008,25.0
8034,1008,25.0
8050,1017,25.0
8065,1022,25.0
8080,1023,25.0
8095,1023,25.0
8110,1023,25.0
8125,1023,25.0
8140,1023,25.0
8155,1023,25.0
8170,1023,25.0
8185,1023,25.0
8200,1023,25.0
8215,1023,25.0
8230,1023,25.0
8246,1023,25.0
8261,1023,25.0
8276,1023,25.0
8291,1023,25.0
8306,1023,25.0
8321,1023,25.0
8336,1023,25.0
8351,1023,25.0
8366,1023,25.0
8381,1023,25.0
8396,1023,25.0
8411,1023,25.0
8426,1023,25.0
8442,1023,25.0
8457,1023,25.0
8472,1023,25.0
8487,1023,25.0
8502,1023,25.0
8517,1023,25.0
8532,1023,25.0
8547,1023,25.0
8562,1023,25.0
8577,1023,25.0
8592,1023,25.0
8607,1023,25.0
8622,1023,25.0
8637,1023,25.0
8653,1023,25.0
8668,1023,25.0
8683,1023,25.0
8698,1023,25.0
8713,1023,25.0
8728,1023,25.0
8743,1023,25.0
8758,1023,25.0
8773,1023,25.0
8788,1023,25.0
8803,1023,25.0
8818,1023,25.0
8833,1023,25.0
8849,1023,25.0
8864,1023,25.0
8879,1023,25.0
8894,1023,25.0
8909,1023,25.0
8924,1023,25.0
8939,1023,25.0
8954,1023,25.0
8969,1023,25.0
8984,1023,25.0
8999,1023,25.0
9014,1023,25.0
9029,1023,25.0
9045,1023,25.0
9060,1023,25.0
9075,1023,25.0
9090,1023,25.0
9105,1023,25.0
9120,1023,25.0
9135,1023,25.0
9150,1023,25.0
9165,1023,25.0
9180,1023,25.0
9195,1023,25.0
9210,1023,25.0
9225,1023,25.0
9240,1023,25.0
9256,1023,25.0
9271,1023,25.0
9286,1023,25.0
9301,1023,25.0
9316,1023,25.0
9331,1023,25.0
9346,1023,25.0
9361,1023,25.0
9376,1023,25.0
9391,1023,25.0
9406,1023,25.0
9421,1023,25.0
9436,1023,25.0
9452,1023,25.0
9467,1023,25.0
9482,1023,25.0
9497,1023,25.0
9512,1023,25.0
9527,1023,25.0
9542,1023,25.0
9557,1023,25.0
9572,1023,25.0
9587,1023,25.0
9602,1023,25.0
9617,1023,25.0
9632,1023,25.0
9648,1023,25.0
9663,1023,25.0
9678,1023,25.0
9693,1023,25.0
9708,1023,25.0
9723,1023,25.0
9738,1023,25.0
9753,1023,25.0
9768,1023,25.0
9783,1023,25.0
9798,1023,25.0
9813,1023,25.0
9828,1023,25.0
9843,1022,25.0
9859,1023,25.0
9874,1023,25.0
9889,1023,25.0
9904,1019,25.0
9919,1017,25.0
9934,1016,25.0
9949,1017,25.0
9964,1012,25.0
9979,1003,25.0
9994,988,25.0
10009,975,25.0
10024,975,25.0
10039,975,25.0
10055,974,25.0
10070,969,25.0
10085,961,25.0
10100,961,25.0
10115,963,25.0
10130,962,25.0
10145,963,25.0
10160,963,25.0
10175,962,25.0
10190,955,25.0
10205,950,25.0
10220,952,25.0
10235,952,25.0
10251,945,25.0
10266,947,25.0
10281,944,25.0
10296,942,25.0
10311,938,25.0
10326,932,25.0
10341,940,25.0
10356,934,25.0
10371,935,25.0
10386,929,25.0
10401,924,25.0
10416,921,25.0
10431,927,25.0
10446,921,25.0
10462,918,25.0
10477,918,25.0
10492,916,25.0
10507,913,25.0
10522,909,25.0
10537,906,25.0
10552,911,25.0
10567,905,25.0
10582,899,25.0
10597,899,25.0
10612,893,25.0
10627,899,25.0
10642,897,25.0
10658,894,25.0
10673,895,25.0
10688,896,25.0
10703,889,25.0
10718,887,25.0
10733,887,25.0
10748,884,25.0
10763,883,25.0
10778,881,25.0
10793,883,25.0
10808,883,25.0
10823,879,25.0
10838,881,25.0
10854,876,25.0
10869,871,25.0
10884,873,25.0
10899,873,25.0
10914,871,25.0
10929,870,25.0
10944,868,25.0
10959,870,25.0
10974,864,25.0
10989,862,25.0
11004,856,25.0
11019,861,25.0
11034,856,25.0
11049,856,25.0
11065,859,25.0
11080,857,25.0
11095,849,25.0
11110,851,25.0
11125,844,25.0
11140,845,25.0
11155,847,25.0
11170,846,25.0
11185,839,25.0
11200,842,25.0
11215,837,25.0
11230,841,25.0
11245,836,25.0
11261,839,25.0
11276,833,25.0
11291,830,25.0
11306,828,25.0
11321,824,25.0
11336,828,25.0
11351,830,25.0
11366,824,25.0
11381,824,25.0
11396,820,25.0
11411,821,25.0
11426,823,25.0
11441,816,25.0
11457,821,25.0
11472,817,25.0
11487,816,25.0
11502,807,25.0
11517,809,25.0
11532,806,25.0
11547,812,25.0
11562,803,25.0
11577,801,25.0
11592,801,25.0
11607,803,25.0
11622,803,25.0
11637,796,25.0
11652,793,25.0
11668,792,25.0
11683,789,25.0
11698,783,25.0
11713,783,25.0
11728,782,25.0
11743,783,25.0
11758,782,25.0
11773,783,25.0
11788,780,25.0
11803,775,25.0
11818,771,25.0
11833,771,25.0
11848,763,25.0
11864,768,25.0
11879,765,25.0
11894,761,25.0
11909,762,25.0
11924,755,25.0
11939,755,25.0
11954,757,25.0
11969,749,25.0
11984,752,25.0
11999,752,25.0
12014,744,25.0
12029,743,25.0
12044,743,25.0
12060,0,25.0
12075,0,25.0
12090,0,25.0
12105,7,25.0
12120,7,25.0
12135,3,25.0
12150,6,25.0
12165,9,25.0
12180,13,25.0
12195,11,25.0
12210,12,25.0
12225,17,25.0
12240,22,25.0
12255,22,25.0
12270,23,25.0
12285,23,25.0
12300,28,25.0
12315,30,25.0
12330,26,25.0
12346,33,25.0
12361,31,25.0
12376,39,25.0
12391,43,25.0
12406,37,25.0
12421,46,25.0
12436,49,25.0
12451,48,25.0
12466,48,25.0
12481,52,25.0
12496,51,25.0
12511,57,25.0
12526,56,25.0
12541,59,25.0
12556,59,25.0
12571,60,25.0
12586,65,25.0
12601,71,25.0
12617,72,25.0
12632,68,25.0
12647,72,25.0
12662,71,25.0
12677,81,25.0
12692,86,25.0
12707,84,25.0
12722,81,25.0
12737,89,25.0
12752,90,25.0
12767,83,25.0
12782,92,25.0
12797,92,25.0
12812,93,25.0
12827,96,25.0
12842,99,25.0
12857,102,25.0
12872,105,25.0
12888,99,25.0
12903,103,25.0
12918,105,25.0
12933,110,25.0
12948,108,25.0
12963,114,25.0
12978,113,25.0
12993,113,25.0
13008,115,25.0
13023,114,25.0
13038,118,25.0
13053,119,25.0
13068,117,25.0
13083,120,25.0
13098,124,25.0
13113,124,25.0
13128,131,25.0
13143,129,25.0
13159,131,25.0
13174,127,25.0
13189,132,25.0
13204,128,25.0
13219,137,25.0
13234,135,25.0
13249,135,25.0
13264,141,25.0
13279,142,25.0
13294,143,25.0
13309,147,25.0
13324,145,25.0
13339,148,25.0
13354,150,25.0
13369,150,25.0
13384,151,25.0
13399,145,25.0
13414,156,25.0
13430,158,25.0
13445,158,25.0
13460,167,25.0
13475,164,25.0
13490,168,25.0
13505,172,25.0
13520,167,25.0
13535,171,25.0
13550,167,25.0
13565,171,25.0
13580,171,25.0
13595,172,25.0
13610,178,25.0
13625,171,25.0
13640,180,25.0
13655,180,25.0
13670,180,25.0
13685,188,25.0
13700,190,25.0
13716,193,25.0
13731,195,25.0
13746,192,25.0
13761,194,25.0
13776,199,25.0
13791,193,25.0
13806,199,25.0
13821,206,25.0
13836,207,25.0
13851,209,25.0
13866,213,25.0
13881,211,25.0
13896,214,25.0
13911,208,25.0
13926,216,25.0
13941,217,25.0
13956,215,25.0
13971,222,25.0
13987,223,25.0
14002,227,25.0
14017,228,25.0
14032,231,25.0
14047,227,25.0
14062,236,25.0
14077,234,25.0
14092,240,25.0
14107,243,25.0
14122,240,25.0
14137,241,25.0
14152,248,25.0
14167,243,25.0
14182,246,25.0
14197,244,25.0
14212,249,25.0
14227,248,25.0
14242,253,25.0
14258,255,25.0
14273,259,25.0
14288,259,25.0
14303,263,25.0
14318,263,25.0
14333,265,25.0
14348,271,25.0
14363,271,25.0
14378,272,25.0
14393,270,25.0
14408,280,25.0
14423,278,25.0
14438,276,25.0
14453,283,25.0
14468,276,25.0
14483,287,25.0
14498,284,25.0
14513,287,25.0
14529,292,25.0
14544,288,25.0
14559,292,25.0
14574,289,25.0
14589,297,25.0
14604,305,25.0
14619,308,25.0
14634,304,25.0
14649,311,25.0
14664,310,25.0
14679,313,25.0
14694,318,25.0
14709,319,25.0
14724,322,25.0
14739,319,25.0
14754,327,25.0
14769,332,25.0
14784,329,25.0
14800,335,25.0
14815,343,25.0
14830,348,25.0
14845,350,25.0
14860,353,25.0
14875,352,25.0
14890,359,25.0
14905,364,25.0
14920,367,25.0
14935,369,25.0
14950,380,25.0
14965,377,25.0
14980,376,25.0
14995,387,25.0
15010,387,25.0
15025,393,25.0
15040,396,25.0
15055,407,25.0
15071,409,25.0
15086,411,25.0
15101,419,25.0
15116,419,25.0
15131,425,25.0
15146,430,25.0
15161,423,25.0
15176,437,25.0
15191,447,25.0
15206,447,25.0
15221,446,25.0
15236,457,25.0
15251,455,25.0
15266,457,25.0
15281,465,25.0
15296,461,25.0
15311,473,25.0
15326,480,25.0
15341,483,25.0
15357,483,25.0
15372,488,25.0
15387,494,25.0
15402,489,25.0
15417,500,25.0
15432,502,25.0
15447,507,25.0
15462,505,25.0
15477,515,25.0
15492,515,25.0
15507,511,25.0
15522,520,25.0
15537,525,25.0
15552,529,25.0
15567,526,25.0
15582,534,25.0
15597,540,25.0
15612,534,25.0
15628,542,25.0
15643,551,25.0
15658,550,25.0
15673,555,25.0
15688,560,25.0
15703,558,25.0
15718,563,25.0
15733,565,25.0
15748,556,25.0
15763,569,25.0
15778,568,25.0
15793,572,25.0
15808,568,25.0
15823,579,25.0
15838,579,25.0
15853,574,25.0
15868,585,25.0
15883,591,25.0
15899,591,25.0
15914,592,25.0
15929,599,25.0
15944,595,25.0
15959,591,25.0
15974,602,25.0
15989,604,25.0
16004,608,25.0
16019,606,25.0
16034,609,25.0
16049,607,25.0
16064,615,25.0
16079,610,25.0
16094,617,25.0
16109,619,25.0
16124,619,25.0
16139,625,25.0
16154,624,25.0
16170,632,25.0
16185,630,25.0
16200,633,25.0
16215,639,25.0
16230,638,25.0
16245,639,25.0
16260,648,25.0
16275,650,25.0
16290,646,25.0
16305,648,25.0
16320,653,25.0
16335,664,25.0
16350,659,25.0
16365,655,25.0
16380,665,25.0
16395,670,25.0
16410,670,25.0
16425,671,25.0
16441,679,25.0
16456,676,25.0
16471,681,25.0
16486,684,25.0
16501,681,25.0
16516,686,25.0
16531,684,25.0
16546,688,25.0
16561,695,25.0
16576,700,25.0
16591,696,25.0
16606,702,25.0
16621,700,25.0
16636,707,25.0
16651,711,25.0
16666,702,25.0
16681,720,25.0
16696,716,25.0
16711,719,25.0
16727,724,25.0
16742,734,25.0
16757,729,25.0
16772,724,25.0
16787,739,25.0
16802,737,25.0
16817,738,25.0
16832,744,25.0
16847,751,25.0
16862,749,25.0
16877,752,25.0
16892,752,25.0
16907,756,25.0
16922,761,25.0
16937,755,25.0
16952,764,25.0
16967,760,25.0
16982,771,25.0
16998,769,25.0
17013,775,25.0
17028,779,25.0
17043,773,25.0
17058,778,25.0
17073,776,25.0
17088,788,25.0
17103,791,25.0
17118,791,25.0
17133,792,25.0
17148,799,25.0
17163,792,25.0
17178,799,25.0
17193,803,25.0
17208,802,25.0
17223,799,25.0
17238,799,25.0
17253,801,25.0
17269,807,25.0
17284,814,25.0
17299,811,25.0
17314,806,25.0
17329,807,25.0
17344,811,25.0
17359,813,25.0
17374,814,25.0
17389,815,25.0
17404,814,25.0
17419,824,25.0
17434,823,25.0
17449,819,25.0
17464,825,25.0
17479,824,25.0
17494,824,25.0
17509,828,25.0
17524,831,25.0
17540,833,25.0
17555,835,25.0
17570,831,25.0
17585,828,25.0
17600,835,25.0
17615,833,25.0
17630,839,25.0
17645,840,25.0
17660,846,25.0
17675,846,25.0
17690,849,25.0
17705,856,25.0
17720,858,25.0
17735,860,25.0
17750,856,25.0
17765,860,25.0
17780,860,25.0
17795,859,25.0
17811,865,25.0
17826,871,25.0
17841,873,25.0
17856,873,25.0
17871,876,25.0
17886,877,25.0
17901,870,25.0
17916,873,25.0
17931,881,25.0
17946,888,25.0
17961,889,25.0
17976,883,25.0
17991,888,25.0
18006,893,25.0
18021,899,25.0
18036,902,25.0
18051,893,25.0
18066,897,25.0
18082,905,25.0
18097,914,25.0
18112,915,25.0
18127,911,25.0
18142,915,25.0
18157,920,25.0
18172,927,25.0
18187,931,25.0
18202,927,25.0
18217,930,25.0
18232,936,25.0
18247,935,25.0
18262,931,25.0
18277,936,25.0
18292,940,25.0
18307,948,25.0
18322,948,25.0
18337,949,25.0
18352,961,25.0
18368,968,25.0
18383,969,25.0
18398,975,25.0
18413,989,25.0
18428,989,25.0
18443,997,25.0
18458,998,25.0
18473,998,25.0
18488,1011,25.0
18503,1019,25.0
18518,1023,25.0
18533,1022,25.0
18548,1023,25.0
18563,1023,25.0
18578,1023,25.0
18593,1023,25.0
18608,1023,25.0
18623,1023,25.0
18639,1023,25.0
18654,1023,25.0
18669,1023,25.0
18684,1023,25.0
18699,1023,25.0
18714,1023,25.0
18729,1023,25.0
18744,1023,25.0
18759,1023,25.0
18774,1023,25.0
18789,1023,25.0
18804,1023,25.0
18819,1023,25.0
18834,1023,25.0
18849,1023,25.0
18864,1023,25.0
18879,1023,25.0
18894,1023,25.0
18910,1023,25.0
18925,1023,25.0
18940,1023,25.0
18955,1023,25.0
18970,1023,25.0
18985,1023,25.0
19000,1023,25.0
19015,1023,25.0
19030,1023,25.0
19045,1023,25.0
19060,1023,25.0
19075,1023,25.0
19090,1023,25.0
19105,1023,25.0
19120,1023,25.0
19135,1023,25.0
19150,1023,25.0
19165,1023,25.0
19181,1023,25.0
19196,1023,25.0
19211,1023,25.0
19226,1023,25.0
19241,1023,25.0
19256,1023,25.0
19271,1023,25.0
19286,1023,25.0
19301,1023,25.0
19316,1023,25.0
19331,1023,25.0
19346,1023,25.0
19361,1023,25.0
19376,1023,25.0
19391,1023,25.0
19406,1023,25.0
19421,1023,25.0
19436,1023,25.0
19452,1023,25.0
19467,1023,25.0
19482,1023,25.0
19497,1023,25.0
19512,1023,25.0
19527,1023,25.0
19542,1023,25.0
19557,1023,25.0
19572,1023,25.0
19587,1023,25.0
19602,1023,25.0
19617,1023,25.0
19632,1023,25.0
19647,1023,25.0
19662,1023,25.0
19677,1023,25.0
19692,1023,25.0
19707,1023,25.0
19722,1023,25.0
19738,1023,25.0
19753,1023,25.0
19768,1023,25.0
19783,1023,25.0
19798,1023,25.0
19813,1023,25.0
19828,1023,25.0
19843,1023,25.0
19858,1023,25.0
19873,1023,25.0
19888,1023,25.0
19903,1023,25.0
19918,1023,25.0
19933,1023,25.0
19948,1023,25.0
19963,1023,25.0
19978,1023,25.0
19993,1023,25.0
20009,1023,25.0
20024,1023,25.0
20039,1023,25.0
20054,1023,25.0
20069,1023,25.0
20084,1023,25.0
20099,1023,25.0
20114,1023,25.0
20129,1023,25.0
20144,1023,25.0
20159,1023,25.0
20174,1023,25.0
20189,1023,25.0
20204,1023,25.0
20219,1023,25.0
20234,1023,25.0
20249,1023,25.0
20264,1023,25.0
20280,1023,25.0
20295,1022,25.0
20310,1023,25.0
20325,1023,25.0
20340,1019,25.0
20355,1014,25.0
20370,1019,25.0
20385,1011,25.0
20400,1010,25.0
20415,1003,25.0
20430,988,25.0
20445,973,25.0
20460,975,25.0
20475,970,25.0
20490,971,25.0
20505,967,25.0
20520,974,25.0
20535,964,25.0
20551,964,25.0
20566,965,25.0
20581,965,25.0
20596,958,25.0
20611,960,25.0
20626,956,25.0
20641,955,25.0
20656,951,25.0
20671,950,25.0
20686,950,25.0
20701,951,25.0
20716,944,25.0
20731,940,25.0
20746,945,25.0
20761,935,25.0
20776,935,25.0
20791,929,25.0
20806,935,25.0
20822,931,25.0
20837,927,25.0
20852,931,25.0
20867,929,25.0
20882,924,25.0
20897,920,25.0
20912,920,25.0
20927,919,25.0
20942,917,25.0
20957,914,25.0
20972,913,25.0
20987,903,25.0
21002,899,25.0
21017,904,25.0
21032,900,25.0
21047,899,25.0
21062,899,25.0
21077,886,25.0
21093,894,25.0
21108,889,25.0
21123,888,25.0
21138,883,25.0
21153,890,25.0
21168,880,25.0
21183,884,25.0
21198,879,25.0
21213,880,25.0
21228,884,25.0
21243,880,25.0
21258,869,25.0
21273,876,25.0
21288,871,25.0
21303,871,25.0
21318,867,25.0
21333,876,25.0
21348,869,25.0
21363,867,25.0
21379,871,25.0
21394,868,25.0
21409,859,25.0
21424,860,25.0
21439,861,25.0
21454,863,25.0
21469,860,25.0
21484,862,25.0
21499,851,25.0
21514,854,25.0
21529,854,25.0
21544,851,25.0
21559,849,25.0
21574,851,25.0
21589,847,25.0
21604,840,25.0
21619,844,25.0
21634,838,25.0
21650,844,25.0
21665,839,25.0
21680,838,25.0
21695,838,25.0
21710,840,25.0
21725,830,25.0
21740,831,25.0
21755,830,25.0
21770,830,25.0
21785,828,25.0
21800,830,25.0
21815,831,25.0
21830,822,25.0
21845,822,25.0
21860,825,25.0
21875,824,25.0
21890,823,25.0
21905,818,25.0
21921,824,25.0
21936,814,25.0
21951,811,25.0
21966,807,25.0
21981,807,25.0
21996,802,25.0
22011,807,25.0
22026,806,25.0
22041,804,25.0
22056,806,25.0
22071,798,25.0
22086,803,25.0
22101,794,25.0
22116,791,25.0
22131,785,25.0
22146,784,25.0
22161,780,25.0
22176,783,25.0
22192,783,25.0
22207,781,25.0
22222,775,25.0
22237,774,25.0
22252,777,25.0
22267,771,25.0
22282,769,25.0
22297,772,25.0
22312,759,25.0
22327,761,25.0
22342,761,25.0
22357,758,25.0
22372,760,25.0
22387,756,25.0
22402,755,25.0
22417,752,25.0
22432,750,25.0
22447,748,25.0
22463,747,25.0
22478,747,25.0
22493,747,25.0
22508,741,25.0
22523,744,25.0
22538,739,25.0
22553,733,25.0
22568,732,25.0
22583,727,25.0
22598,732,25.0
22613,728,25.0
22628,726,25.0
22643,732,25.0
22658,723,25.0
22673,719,25.0
22688,723,25.0
22703,713,25.0
22718,717,25.0
22733,711,25.0
22749,710,25.0
22764,711,25.0
22779,702,25.0
22794,707,25.0
22809,706,25.0
22824,705,25.0
22839,705,25.0
22854,700,25.0
22869,693,25.0
22884,697,25.0
22899,688,25.0
22914,694,25.0
22929,688,25.0
22944,681,25.0
22959,684,25.0
22974,671,25.0
22989,679,25.0
23004,676,25.0
23020,672,25.0
23035,665,25.0
23050,664,25.0
